code,category,value,areaName
E12000004,Russian,9336,East Midlands
E12000004,Turkish,4077,East Midlands
E12000004,Arabic,9791,East Midlands
E12000004,Hebrew,73,East Midlands
E12000004,Kurdish,5225,East Midlands
E12000004,Farsi,3563,East Midlands
E12000004,Pashto,1762,East Midlands
E12000004,otherWCAsian,256,East Midlands
E12000004,Urdu,14566,East Midlands
E12000004,Hindi,4242,East Midlands
E12000004,Panjabi,24680,East Midlands
E12000004,Pahari,1493,East Midlands
E12000004,Bengali,7126,East Midlands
E12000004,Gujarati,53596,East Midlands
E12000004,Marathi,774,East Midlands
E12000004,Telugu,1326,East Midlands
E12000004,Tamil,5101,East Midlands
E12000004,Malayalam,5927,East Midlands
E12000004,Sinhala,924,East Midlands
E12000004,Nepalese,1772,East Midlands
E12000004,otherSAsian,2980,East Midlands
E12000004,Mandarin,1634,East Midlands
E12000004,Cantonese,3176,East Midlands
E12000004,otherChinese,6703,East Midlands
E12000004,Japanese,525,East Midlands
E12000004,Korean,322,East Midlands
E12000004,Vietnamese,1060,East Midlands
E12000004,Thai,1612,East Midlands
E12000004,Malay,490,East Midlands
E12000004,Tagalog,2307,East Midlands
E12000004,otherEAsian,610,East Midlands
E12000004,Oceanic,118,East Midlands
E12000004,NSAmerican,6,East Midlands
E12000004,EnglishCreole,18,East Midlands
E12000004,otherCreole,48,East Midlands
E12000004,Amharic,311,East Midlands
E12000004,Tigrinya,1027,East Midlands
E12000004,Somali,3113,East Midlands
E12000004,Krio,27,East Midlands
E12000004,Akan,1265,East Midlands
E12000004,Yoruba,353,East Midlands
E12000004,Igbo,578,East Midlands
E12000004,Swahili,994,East Midlands
E12000004,Luganda,48,East Midlands
E12000004,Lingala,114,East Midlands
E12000004,Shona,1570,East Midlands
E12000004,Afrikaans,382,East Midlands
E12000004,otherNigerian,322,East Midlands
E12000004,otherWAfrican,600,East Midlands
E12000004,otherAfrican,1047,East Midlands
E12000004,BSL,1861,East Midlands
E12000004,otherSignLang,107,East Midlands
E12000004,otherSignComm,363,East Midlands
E12000004,other,429,East Midlands
E12000005,N/A,196407,West Midlands
E12000005,English,5235726,West Midlands
E12000005,Welsh,999,West Midlands
E12000005,IrishGaelic,56,West Midlands
E12000005,ScottishGaelic,8,West Midlands
E12000005,ManxGaelic,0,West Midlands
E12000005,Gaelic,23,West Midlands
E12000005,Cornish,9,West Midlands
E12000005,Scots,35,West Midlands
E12000005,UlsterScots,0,West Midlands
E12000005,RomanyEnghlish,193,West Midlands
E12000005,IrishTraveller,7,West Midlands
E12000005,French,7293,West Midlands
E12000005,Portuguese,10505,West Midlands
E12000005,Spanish,8691,West Midlands
E12000005,Italian,8720,West Midlands
E12000005,German,2420,West Midlands
E12000005,Polish,62889,West Midlands
E12000005,Slovak,5170,West Midlands
E12000005,Czech,2730,West Midlands
E12000005,Romanian,49369,West Midlands
E12000005,Lithuanian,6977,West Midlands
E12000005,Latvian,4885,West Midlands
E12000005,Hungarian,6292,West Midlands
E12000005,Bulgarian,7813,West Midlands
E12000005,Greek,4754,West Midlands
E12000005,Dutch,1444,West Midlands
E12000005,Swedish,570,West Midlands
E12000005,Danish,272,West Midlands
E12000005,Finnish,187,West Midlands
E12000005,Estonian,171,West Midlands
E12000005,3Slovenian1,153,West Midlands
E12000005,3Maltese2,67,West Midlands
E12000005,otherEU,306,West Midlands
E12000005,Albanian,3080,West Midlands
E12000005,Ukrainian,440,West Midlands
E12000005,otherEEuropean,24,West Midlands
E12000005,otherNEuropean,415,West Midlands
E12000005,BosCroatSerbMont,1220,West Midlands
E12000005,Romani,16,West Midlands
E12000005,Yiddish,3,West Midlands
E12000005,Russian,6541,West Midlands
E12000005,Turkish,3287,West Midlands
E12000005,Arabic,21761,West Midlands
E12000005,Hebrew,74,West Midlands
E12000005,Kurdish,10026,West Midlands
E12000005,Farsi,8643,West Midlands
E12000005,Pashto,9398,West Midlands
E12000005,otherWCAsian,499,West Midlands
E12000005,Urdu,44598,West Midlands
E12000005,Hindi,5072,West Midlands
E12000005,Panjabi,82646,West Midlands
E12000005,Pahari,12946,West Midlands
E12000005,Bengali,22403,West Midlands
E12000005,Gujarati,10320,West Midlands
E12000005,Marathi,850,West Midlands
E12000005,Telugu,2817,West Midlands
E12000005,Tamil,7745,West Midlands
E12000005,Malayalam,6246,West Midlands
E12000005,Sinhala,1126,West Midlands
E12000005,Nepalese,3984,West Midlands
E12000005,otherSAsian,3516,West Midlands
E12000005,Mandarin,2633,West Midlands
E12000005,Cantonese,4622,West Midlands
E12000005,otherChinese,9738,West Midlands
E12000005,Japanese,795,West Midlands
E12000005,Korean,706,West Midlands
E12000005,Vietnamese,1629,West Midlands
